Game ,Referee_Name,CountryRef,Fixture,CardID,YCard,2YRed,Red,Player,CountryPlayer,GameState
1,Adham Makhadmeh,Jordan,UAE v Bahrain,1,35,NA,NA,Amer Abdulrahman,UAE,D
1,Adham Makhadmeh,Jordan,UAE v Bahrain,2,36,NA,NA,Khamis Esmaeel,UAE,D
2,Ahmed Al Kaf,Oman,Australia v Jordan,3,28,NA,NA,Trent Sainsbury,Australia,L
2,Ahmed Al Kaf,Oman,Australia v Jordan,4,51,NA,NA,Mousa Suleiman,Jordan,W
3,Kwok Man Liu,Hong Kong,Thailand v India,5,39,NA,NA,Sanrawat Dechmitr,Thailand,D
3,Kwok Man Liu,Hong Kong,Thailand v India,6,79,NA,NA,Pansa Hemviboon,Thailand,L
4,Ravshan Irmatov,Uzbekistan,Syria v Palestine,7,5,NA,NA,Jonathan Zorilla,Palestine,D
4,Ravshan Irmatov,Uzbekistan,Syria v Palestine,8,43,NA,NA,Mohammed Saleh,Palestine,D
4,Ravshan Irmatov,Uzbekistan,Syria v Palestine,9,59,NA,NA,Musab Battat,Palestine,D
4,Ravshan Irmatov,Uzbekistan,Syria v Palestine,10,NA,68,NA,Mohammed Saleh,Palestine,D
4,Ravshan Irmatov,Uzbekistan,Syria v Palestine,11,76,NA,NA,Tamer Hag Mohamad,Syria,D
4,Ravshan Irmatov,Uzbekistan,Syria v Palestine,12,90,NA,NA,Ahmed Ashkar,Syria,D
5,Mohammed Abdulla Hassan,UAE,China v Kyrgyz Republic,13,57,NA,NA,Kairat Zhyrgalbek,Kyrgyz Republic,D
6,Nawaf Shukralla,Bahrain,Korea Republic v Philippines,14,25,NA,NA,Lee Yong,Korea Republic,D
6,Nawaf Shukralla,Bahrain,Korea Republic v Philippines,15,52,NA,NA,Jung Woo-young,Korea Republic,D
6,Nawaf Shukralla,Bahrain,Korea Republic v Philippines,16,60,NA,NA,Patrick Reichelt,Philippines,D
6,Nawaf Shukralla,Bahrain,Korea Republic v Philippines,17,77,NA,NA,Kim Jin-Su,Korea Republic,W
6,Nawaf Shukralla,Bahrain,Korea Republic v Philippines,18,88,NA,NA,Stephan Schrock,Philippines,L
7,Ryuji Sato,Japan,Iran v Yemen,19,39,NA,NA,Ramin Rezaeian,Iran,W
7,Ryuji Sato,Japan,Iran v Yemen,20,77,NA,NA,Abdulwasea Al-Matari,Yemen,L
7,Ryuji Sato,Japan,Iran v Yemen,21,80,NA,NA,Ahmed Al-Haifi,Yemen,L
7,Ryuji Sato,Japan,Iran v Yemen,22,83,NA,NA,Mudir Abdurabu,Yemen,L
7,Ryuji Sato,Japan,Iran v Yemen,23,90,NA,NA,Ala Addin Mahdi,Yemen,L
8,Abdulrahman Al Jassim,Qatar,Iraq v Vietnam,24,1,NA,NA,Nguyen Trong Hoang,Vietnam,D
8,Abdulrahman Al Jassim,Qatar,Iraq v Vietnam,25,18,NA,NA,Osama Jabbar,Iraq,D
8,Abdulrahman Al Jassim,Qatar,Iraq v Vietnam,26,48,NA,NA,Do Duy Manh,Vietnam,W
9,Peter Green,Australia,Saudi Arabia v North Korea,27,32,NA,NA,Kim Chol Bom,DPR Korea,L
9,Peter Green,Australia,Saudi Arabia v North Korea,28,36,NA,NA,Han Kwang Song,DPR Korea,L
9,Peter Green,Australia,Saudi Arabia v North Korea,29,NA,44,NA,Han Kwang Song,DPR Korea,L
9,Peter Green,Australia,Saudi Arabia v North Korea,30,45,NA,NA,Salem Al Dawsari,Saudi Arabia,W
9,Peter Green,Australia,Saudi Arabia v North Korea,31,53,NA,NA,Ri Il-Jin,DPR Korea,L
9,Peter Green,Australia,Saudi Arabia v North Korea,32,90,NA,NA,Jong Il-Gwan,DPR Korea,L
10,Alireza Faghani,Iran,Japan v Turkmenistan,33,33,NA,NA,Hiroki Sakai,Japan,L
10,Alireza Faghani,Iran,Japan v Turkmenistan,34,78,NA,NA,Shuichi Gonda,Japan,W
10,Alireza Faghani,Iran,Japan v Turkmenistan,35,90,NA,NA,Ylysov Vezigerdi,Turkmenistan,L
11,Dong-jin Kim,Korea Republic,Uzbekistan v Oman,36,29,NA,NA,Jaloliddin Masharipov,Uzbekistan,D
11,Dong-jin Kim,Korea Republic,Uzbekistan v Oman,37,58,NA,NA,Ignatiy Nesterov,Uzbekistan,W
11,Dong-jin Kim,Korea Republic,Uzbekistan v Oman,38,NA,NA,90,Egor Krimets,Uzbekistan,W
12,Ning Ma,China,Qatar v Oman,39,24,NA,NA,Robert Melki,Lebanon,D
12,Ning Ma,China,Qatar v Oman,40,64,NA,NA,Hassan Maatouk,Lebanon,D
13,Chris Beath,Australia,Bahrain v Thailand,41,13,NA,NA,Pansa Hemviboon,Thailand,D
13,Chris Beath,Australia,Bahrain v Thailand,42,20,NA,NA,Suphang Thongsong,Thailand,D
13,Chris Beath,Australia,Bahrain v Thailand,43,43,NA,NA,Adisak Kraisorn,Thailand,D
13,Chris Beath,Australia,Bahrain v Thailand,44,45,NA,NA,Adison Promrak,Thailand,D
14,Dong-jin Kim,South Korea,Jordan v Syria,45,2,NA,NA,Mardek Mrdkian,Syria,D
14,Dong-jin Kim,South Korea,Jordan v Syria,46,33,NA,NA,Abdul Malek Anizan,Syria,L
14,Dong-jin Kim,South Korea,Jordan v Syria,47,80,NA,NA,Mousa Suleiman,Jordan,W
14,Dong-jin Kim,South Korea,Jordan v Syria,48,80,NA,NA,Jehad Al Baour,Syria,L
15,César Ramos Palazuelos,Mexico,UAE v India,49,51,NA,NA,Ashique Kuruniyan,India,L
15,César Ramos Palazuelos,Mexico,UAE v India,50,73,NA,NA,Subhashish Bose,India,L
16,Valentin Kovalenko,Uzbekistan,Australia v Palestine,51,35,NA,NA,Jonathan Zorilla,Palestine,L
16,Valentin Kovalenko,Uzbekistan,Australia v Palestine,52,56,NA,NA,Tomas Rogic,Australia,W
16,Valentin Kovalenko,Uzbekistan,Australia v Palestine,53,83,NA,NA,Trent Sainsbury,Australia,W
17,Hiroyuki Kimura,Japan,Philippines v China,54,34,NA,NA,Alvaro Silva,Philippines,D
17,Hiroyuki Kimura,Japan,Philippines v China,55,55,NA,NA,Daisuke Sato,Philippines,L
17,Hiroyuki Kimura,Japan,Philippines v China,56,73,NA,NA,Feng Xiaoting,China,W
18,Khamis Al Marri,Qatar,Kyrgyz Republic v Korea Republic,57,79,NA,NA,Lee Yong,Korea Republic,W
